order_date,product_id,warehouse_id,units_ordered,unit_cost
2026-01-14,IC001,CW01,13,1.94
2026-01-14,IC001,CW02,12,1.94
2026-01-14,IC001,CW03,14,1.94
2026-01-14,IC001,CW04,9,1.94
2026-01-14,IC001,CW05,8,1.94
2026-01-14,IC002,CW01,11,1.37
2026-01-14,IC002,CW02,12,1.37
2026-01-14,IC002,CW03,9,1.37
2026-01-14,IC002,CW04,11,1.37
2026-01-14,IC002,CW05,13,1.37
2026-01-14,IC003,CW01,10,1.34
2026-01-14,IC003,CW02,6,1.34
2026-01-14,IC003,CW03,15,1.34
2026-01-14,IC003,CW04,8,1.34
2026-01-14,IC003,CW05,1,1.34
2026-01-14,IC004,CW01,13,4.32
2026-01-14,IC004,CW02,11,4.32
2026-01-14,IC004,CW03,14,4.32
2026-01-14,IC004,CW04,12,4.32
2026-01-14,IC004,CW05,15,4.32
2026-01-14,IC005,CW01,7,2.02
2026-01-14,IC005,CW02,11,2.02
2026-01-14,IC005,CW03,17,2.02
2026-01-14,IC005,CW04,12,2.02
2026-01-14,IC005,CW05,7,2.02
2026-01-14,IC006,CW01,12,3.1
2026-01-14,IC006,CW02,21,3.1
2026-01-14,IC006,CW03,8,3.1
2026-01-14,IC006,CW04,13,3.1
2026-01-14,IC006,CW05,16,3.1
2026-01-14,IC007,CW01,14,5.07
2026-01-14,IC007,CW02,8,5.07
2026-01-14,IC007,CW03,10,5.07
2026-01-14,IC007,CW04,16,5.07
2026-01-14,IC007,CW05,13,5.07
2026-01-14,IC008,CW01,20,2.75
2026-01-14,IC008,CW02,12,2.75
2026-01-14,IC008,CW03,13,2.75
2026-01-14,IC008,CW04,17,2.75
2026-01-14,IC008,CW05,10,2.75
2026-01-14,IC009,CW01,14,1.44
2026-01-14,IC009,CW02,9,1.44
2026-01-14,IC009,CW03,11,1.44
2026-01-14,IC009,CW04,12,1.44
2026-01-14,IC009,CW05,9,1.44
2026-01-14,IC010,CW01,15,5.79
2026-01-14,IC010,CW02,15,5.79
2026-01-14,IC010,CW03,16,5.79
2026-01-14,IC010,CW04,11,5.79
2026-01-14,IC010,CW05,16,5.79
2026-01-14,IC011,CW01,13,3.13
2026-01-14,IC011,CW02,10,3.13
2026-01-14,IC011,CW03,14,3.13
2026-01-14,IC011,CW04,11,3.13
2026-01-14,IC011,CW05,11,3.13
2026-01-14,IC012,CW01,13,4.92
2026-01-14,IC012,CW02,16,4.92
2026-01-14,IC012,CW03,13,4.92
2026-01-14,IC012,CW04,10,4.92
2026-01-14,IC012,CW05,17,4.92
2026-01-14,IC013,CW01,14,2.5
2026-01-14,IC013,CW02,17,2.5
2026-01-14,IC013,CW03,7,2.5
2026-01-14,IC013,CW04,19,2.5
2026-01-14,IC013,CW05,18,2.5
2026-01-14,IC014,CW01,10,4.59
2026-01-14,IC014,CW02,16,4.59
2026-01-14,IC014,CW03,14,4.59
2026-01-14,IC014,CW04,13,4.59
2026-01-14,IC014,CW05,11,4.59
2026-01-14,IC015,CW01,12,5.31
2026-01-14,IC015,CW02,14,5.31
2026-01-14,IC015,CW03,18,5.31
2026-01-14,IC015,CW04,18,5.31
2026-01-14,IC015,CW05,9,5.31
